hp_bytes,lp_bytes,port,time
0.0,0.0,0.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,2.0,0.0
0.0,0.0,3.0,0.0
0.0,0.0,4.0,0.0
0.0,0.0,5.0,0.0
0.0,0.0,6.0,0.0
0.0,0.0,7.0,0.0
0.0,4352.0,0.0,74177040.0
0.0,3264.0,0.0,74177180.0
0.0,2176.0,0.0,74177320.0
0.0,1088.0,0.0,74177460.0
0.0,0.0,0.0,74177600.0
128.0,0.0,1.0,74177600.0
0.0,0.0,1.0,74177740.0
128.0,0.0,3.0,74177740.0
0.0,0.0,3.0,74177880.0
128.0,0.0,6.0,74177880.0
0.0,0.0,6.0,74178020.0
128.0,0.0,7.0,74178020.0
0.0,0.0,7.0,74178160.0
0.0,3264.0,0.0,74181240.0
0.0,2176.0,0.0,74181380.0
0.0,1088.0,0.0,74181520.0
0.0,0.0,0.0,74181660.0
128.0,0.0,2.0,74181800.0
0.0,0.0,2.0,74181940.0
128.0,0.0,4.0,74181940.0
0.0,0.0,4.0,74182080.0
128.0,0.0,5.0,74182080.0
0.0,0.0,5.0,74182220.0
